,cosine_similarity
com.logicappkids,0.12604847210508358
ai.chatbot.ask.chat.deep.seek.assistant.search.free,0.2751317093305231
com.magoosh.flashcards.gre,0.2932103685361351
com.stimuler,0.3462055091789859
com.hellochinese,0.3718178538664795
com.speechling.speechling,0.2668863261943982
com.lin.duo.hd.french,0.30975619993065856
org.ieltstutors.academicwordlist,0.3544386129962075
com.word.vocabulary.vocab,0.34322759965813227
com.ai.skillium,0.07559962151105004
com.atistudios.ispeak.fr,0.2904372504447048
com.moymer.falou,0.3345946770684863
org.pbskids.gamesapp,0.5356495512308108
com.nomadeducation.nomadeducation,0.07285464317549835
com.linguist,0.37087376354340407
com.selabs.speak,0.3666878956143275
com.radio.pocketfm,0.2553196149911796
com.microblink.photomath,0.28249127424017006
com.mosalingua.entoeic,0.41219497436785524
com.streema.simpleradio,0.5780371155956346
com.apple.android.music,0.3604653671972205
com.chatexpo,0.1426801184482968
com.busuu.android.enc,0.30074825113633885
com.duolingo.literacy,0.3611227331506954
com.atistudios.mondly.languages,0.5190379878463801
es.monkimun.lingokids,0.34928670966057324
com.lms.greatlakes,0.40919159524787757
bc.leg,0.2684969051309948
com.Leksi.English.Flashcards,0.43930653081081034
com.sirius,0.2061709751277132
englishgrammar.speaking.conversation.tenses.grammar.spoken.grammarly,0.5414159609275323
com.aimastery,0.031225614510527477
com.lingodeer,0.32851188237593393
com.blarma.high5,0.12507601123530107
com.relitygames.englishgrammar,0.3200287104774244
com.duolingo,0.47948081334087644
com.listenup.french.listening.practice,0.2835622553950592
com.funeasylearn.french6000,0.166884036503341
com.amazon.mp3,0.34777836597115835
org.khankids.android,0.4417652733948188
com.silvermoonapps.luvlingualearnfunfrenchlanguage,0.1372868538345529
io.linga,0.35564894144026504
com.codeway.homework,0.26753237176120603
co.wordupapp.app,0.3733244915575328
tinyleo.com.grammarai,0.1345821429123761
com.ereflect.wordela,0.19987468385172627
org.brilliant.android,0.3352761129911374
com.app.academicieltschannel,0.19959717985290107
com.prodigygame.prodigy,0.28371301562969126
club.speakpal,0.4370549731082469
com.david.android.languageswitch,0.37345570227598757
com.abaenglish.videoclass,0.2893933089726191
com.pyankoff.andy,0.2754099538201312
com.uoe.grammarpro,0.26333137088601216
com.gonliapps.learnamericanenglish.forkidsandbeginners,0.3120854738611993
com.learnaibasic.app,0.4758794130703933
net.studycat.funfrench,0.27193186791487334
com.openai.chatgpt,0.07233176382455359
com.estudyme.ielts,0.3093547199973838
com.quizlet.quizletandroid,0.4182712703449966
com.magoosh.ielts.flashcards.vocabulary,0.30110151589606904
com.syubestgames.teachersimulator,0.2084719661193941
com.hellotalk.aigrammar,0.31328257462549863
com.simonandschuster.pimsleur.unified.android,0.26876878897697043
com.noctuasoftware.stellarium_free,0.2760441959493338
com.uoe.vocabularypro,0.26757734047578624
com.education.android.h.intelligence,0.23254488289732841
com.podcast.podcasts,0.2900578977483417
com.wonder,0.3342972910219246
com.lolaspeak.lolaspeak,0.15333295473391237
com.soundcloud.android,0.13324083707986079
com.engbright,0.09348976690846152
com.edurev.ielts,0.20523263998296196
co.riiid.vida,0.34152360229913514
world.petr.vokabeln,0.28059597523677104
livio.pack.lang.en_US,0.31670724530797717
com.funeasylearn.english,0.12686933357774993
com.lt.ieltspracticetest,0.2066567283140093
com.mosalingua.frfree,0.3843248101662845
com.funeasylearn.phrasebook.french,0.4195470110860926
com.duocards.app,0.30906585674813686
com.hellotalk,0.2486889155116387
com.linguist.fr,0.28318906723476606
ru.publishing1c.fixies.eng,0.22155438411855163
com.ielts.speechace.ieltsace,0.23507766474421185
ai.metaverselabs.grammargpt,0.24395332734185907
com.innovativelanguage.innovativelanguage101,0.43743263429744556
com.english.test.toeic,0.025391835805951272
com.daily.micro.learning,0.38440443537465036
com.hello.french,0.4404489518246828
jp.flipout.trainingtoeic,0.12658701930154131
com.google.android.apps.youtube.music,0.5164333477541349
org.khanacademy.android,0.39618778100302476
english.grammar.test.app,0.34713035935987674
com.earlystart.android.aispeak,0.20818289635867793
de.knowunity.app,0.30466608860281413
com.tv5monde.apprendre,0.3864370595770407
com.picoai.languageapp.android,0.261490334051173
com.magoosh.gre.quiz.vocabulary,0.3045830402079852
com.palmdev.expressenglish,0.09436329863036233
com.appforge.saygo,0.5035850852530457
com.hellotalk.hellowords,0.48556876445545194
ai.artificialintelligence.artificial.intelligence.programming.learn.coding.robotics.leanai,0.4075503467954533
kr.co.devstory.vocat,0.3850843961001003
com.sololearn.ai,0.38521984243875684
com.jernung.infinite.fra,0.31901990581437206
com.hrd.vocabulary,0.4282368565701376
com.spotify.music,0.4564854025230469
com.udemy.android,0.16290710004882955
io.ivoca.conversationfrench,0.39763755538816437
com.getmimo,0.31977424953081346
com.breboucas.francesparaviajar,0.33541121058709206
air.com.starfall.more,0.3603510973012003
com.quillbot.mobile,0.23979186435986521
com.guidedelearning.flex,0.3110340009684695
com.db.lingotv,0.32163390237649747
com.hyperthought.lingolegend,0.48490420983045757
com.milinix.englishgrammartest,0.2820336382173094
com.eup.migiitoeic,0.2139116296569036
com.linkedin.android.learning,0.26476600648607107
com.google.android.apps.translate,0.3050291764975196
com.grammarly.android.keyboard,0.32789676523345096
livio.pack.lang.fr_FR,0.3363996020504945
com.moodle.moodlemobile,0.13356461422412563
fr.lemonde.ftqmobile,0.23879204146073021
ai.szl.mobileapp,0.15626998725934307
com.halpindev.grammarplus,0.21997671987136858
com.languagedrops.drops.international,0.33948473815365904
com.wlingua.curso,0.21570359398971403
com.knudge.me,0.1774986642392427
com.jobsaround.verbs,0.1781338458176455
com.englishvocabulary,0.19305407789730417
com.french.zeemish,0.30585895646412103
com.pronunciatorllc.bluebird,0.5258745647569333
com.codeway.aitutor,0.1893470811374088
com.gymglish.ftqmobile,0.4163294305175279
com.ailamo.ailamo,0.41845265413761873
com.companyname.MaturaMatematyka,0.43896747995352997
ru.poas.frenchwords,0.5063838297398736
us.nobarriers.elsa,0.259518619044772
com.jsk.englieshlearning,0.20101707122634935
com.bal.listenboise,0.23132597278649628
com.magoosh.toefl.flashcards.vocabulary,0.3453619601266555
com.thegrammaruniversity.drfrench,0.3385861584176306
com.memrise.android.memrisecompanion,0.39980340255306707
com.cyberdavinci.gptkeyboard,0.25936016208946616
net.tandem,0.3433689016307974
ai.talkpal,0.17681965353139817
com.google.android.apps.classroom,0.2599494692080656
com.funeasylearn.phrasebook.english,0.2378298265121991
com.masterenglishprogram,0.12126002717809907
com.loora.app,0.22732779934056768
com.classdojo.android,0.3544249492667634
com.atistudios.ispeak.en,0.35818903039251493
no.mobitroll.kahoot.android,0.22361902724994168
com.gonliapps.learnfrenchfree.game,0.3347544290344827
com.magoosh.ielts.lessons,0.3010513882889479
com.yoloai.edu,0.1807693241278111
english.practice.exercises,0.3600202557632462
com.ieltspracticetest,0.14690512762678626
com.vocabularyminer.android,0.4587223464935849
com.tvt.toeictest.newformat2019,0.09552869249255264
com.rocketraven.ieltsapp,0.33679779101893004
org.edx.mobile,0.17509149139525235
com.codespaceapps.listeningapp,0.23102739413956971
com.hellosimply.simplydraw,0.45902442038687175
com.pandora.android,0.359948643363167
com.dreambear.conjuu.fr,0.41004358370305827
ai.mybuddy.talkingflashcards_new,0.2658097429140614
com.datacamp,0.38472703065328606
com.babbel.mobile.android.en,0.49989070507336053
ai.praktika.android,0.23454921992289865
com.google.android.apps.bard,0.17341731081086473
cn.danatech.xingseus,0.31744240234525356
ai.ai1min.application,0.33554656310441544
com.one.ielts_prep_app,0.38264271891552337
com.wlingua.frenchcourse,0.4374605618131328
com.unacademy.antonio,0.31371966093567905
com.audible.application,0.3402973240771935
com.reallifeglobal.app,0.41970392595752465
com.aitoolskitapp.typingassistant,0.2509527035879179
com.alison.mobile.flutter,0.38278126936938445
com.mobiteach.french.learn.words.vocabulary.beginners.a1.a2.b1,0.2893137626839693
com.arturagapov.ielts_prep,0.26105428945867265
